Iteration	Posterior	Likelihood	Prior	alpha	beta	clockrate[1]	clockrate[2]	clockrate[3]	clockrate[4]	clockrate[5]	clockrate[6]	clockrate[7]	clockrate[8]	clockrate[9]	clockrate[10]	clockrate[11]	clockrate[12]	clockrate[13]	clockrate[14]	clockrate[15]	clockrate[16]	clockrate[17]	clockrate[18]	clockrate[19]	clockrate[20]	clockrate[21]	clockrate[22]	clockrate[23]	clockrate[24]	clockrate[25]	clockrate[26]	clockrate[27]	clockrate[28]	clockrate[29]	clockrate[30]	clockrate[31]	clockrate[32]	clockrate[33]	clockrate[34]	clockrate[35]	clockrate[36]	clockrate[37]	clockrate[38]	clockrate[39]	clockrate[40]	clockrate[41]	clockrate[42]	clockrate[43]	clockrate[44]	mean_clockrate	origin_time	relvar_clockrate	speciation_clade_1	speciation_clade_10	speciation_clade_11	speciation_clade_14	speciation_clade_15	speciation_clade_16	speciation_clade_19	speciation_clade_2	speciation_clade_3	speciation_clade_6	speciation_clade_7	speciation_clade_8	speciation_clade_9
0	-208112.4	-208016	-96.46156	3.444307	49.20903	0.0884121	0.0894238	0.0402688	0.0981752	0.154369	0.0281795	0.0601646	0.117354	0.0859115	0.0798227	0.165225	0.132165	0.018839	0.0764926	0.0510596	0.0522013	0.0497874	0.0612571	0.04219	0.0706802	0.0653721	0.0516785	0.0405867	0.0296375	0.0326043	0.129919	0.0767201	0.0755697	0.0901868	0.0741693	0.0780166	0.0203241	0.0705872	0.0965024	0.0416102	0.0773687	0.0854375	0.0925524	0.0701864	0.0284139	0.0163145	0.0747553	0.0761339	0.0332245	0.0699934	750	0.2903341	750	654.4691	627.0592	594.39	566.0897	513.0788	487.8673	748.386	671.1098	697.0447	643.6164	481.5505	719.3065
10	-158113.9	-158022.1	-91.78566	4.357012	61.41	0.0813533	0.0772704	0.0343297	0.0934883	0.140582	0.0249038	0.0572749	0.0966067	0.072167	0.0669794	0.16532	0.109515	0.017686	0.0677368	0.0435484	0.0427425	0.0443063	0.0526353	0.0395078	0.0590863	0.0509508	0.0474074	0.0355039	0.0255695	0.029408	0.114055	0.0689361	0.0820506	0.09584	0.0653685	0.0780166	0.0177796	0.065099	0.0932958	0.0393643	0.0734566	0.0749175	0.0934337	0.0670148	0.0264204	0.0132644	0.0696688	0.0698161	0.0302056	0.07094955	667.7075	0.2295151	667.7075	551.1372	341.0104	178.8391	172.4639	218.0895	121.5391	276.4405	151.3129	8.950195	5.076379	4.030746	565.7203
20	-140773.2	-140687.4	-85.82111	3.006046	42.36879	0.0755138	0.0756957	0.0359535	0.0773434	0.116657	0.0195898	0.0556577	0.0895197	0.0662929	0.0546935	0.155312	0.097448	0.0143411	0.0552993	0.04057	0.0413381	0.037606	0.0490918	0.036302	0.0480777	0.0400043	0.0397879	0.0344022	0.0230008	0.0288256	0.105573	0.0649791	0.0630517	0.0833864	0.0653685	0.0723569	0.0167101	0.0526851	0.0902035	0.0349835	0.0590739	0.0676733	0.0809072	0.0620381	0.035972	0.0147384	0.0606567	0.0656213	0.0256509	0.07094955	584.0817	0.3326629	584.0817	353.6077	252.915	176.8189	172.4639	164.8527	121.5391	158.5618	151.3129	3.642444	3.529872	2.080344	559.2594
30	-131510	-131432.6	-77.32778	4.814326	86.98028	0.0671262	0.0702135	0.0376302	0.0619957	0.110484	0.0182856	0.0647152	0.0978129	0.0586535	0.0481957	0.146867	0.0980174	0.013041	0.0530943	0.0386275	0.0335734	0.0314032	0.0421081	0.0325256	0.0431436	0.0347647	0.0349254	0.0322794	0.0195613	0.0235493	0.0934167	0.0541455	0.0587823	0.0701739	0.0606727	0.0678724	0.0144003	0.0486719	0.0735636	0.0328903	0.05243	0.0573801	0.0660619	0.0578759	0.0408743	0.0160885	0.0513623	0.0536547	0.0231161	0.05534962	531.7234	0.2077134	531.7234	208.5142	179.0092	176.8189	172.4639	164.8527	121.5391	154.7143	150.7478	3.642444	3.639342	2.666868	429.3475
40	-125063.6	-124992	-71.58674	4.464704	96.32953	0.0609613	0.0633638	0.04305	0.056086	0.0966485	0.0175692	0.0769444	0.115754	0.0477878	0.0458227	0.136736	0.0978989	0.0119689	0.0384138	0.0366397	0.030298	0.0263011	0.0378027	0.0284391	0.0382682	0.0321144	0.0325802	0.0289276	0.0166951	0.0194544	0.092408	0.0481962	0.0541186	0.0655147	0.0481897	0.0602889	0.012375	0.0406445	0.0707198	0.0306811	0.0410841	0.0518923	0.0542016	0.0509526	0.0454242	0.0177338	0.0484307	0.0486728	0.0220121	0.04634824	444.7859	0.223979	444.7859	208.5142	179.0092	176.8189	167.3217	164.8527	116.1852	154.7143	150.7478	3.642444	3.639342	2.499079	425.5495
50	-120768.4	-120699.2	-69.11732	3.170611	71.57106	0.051668	0.0594913	0.050142	0.0570644	0.0820052	0.016903	0.078673	0.140242	0.0465843	0.0416145	0.127367	0.107062	0.0114085	0.0346542	0.0327958	0.0319001	0.0235287	0.0310771	0.0259377	0.0368001	0.0312438	0.0300187	0.0267439	0.0161151	0.0159818	0.0824956	0.0441542	0.0463661	0.0545758	0.0415527	0.0542712	0.0106166	0.0350528	0.0613375	0.0248537	0.035855	0.0430474	0.0483763	0.0458585	0.0599444	0.018348	0.0421286	0.0426758	0.0190312	0.04430017	425.2273	0.3153967	425.2273	208.5142	185.2256	176.8189	167.3217	164.8527	84.27567	154.7143	150.7478	3.642444	3.639342	2.438724	415.2811
60	-117599	-117529.9	-69.1497	2.417585	47.27095	0.0459524	0.0584592	0.0559477	0.0543007	0.0728416	0.0165535	0.0735197	0.138259	0.0422784	0.0392095	0.112495	0.124578	0.0114142	0.0315937	0.0367672	0.0318959	0.0217838	0.0287882	0.0238078	0.0334813	0.0281257	0.0248617	0.0220108	0.0147655	0.014584	0.0825917	0.0388331	0.0399357	0.0450785	0.0377439	0.0489613	0.00966368	0.0306466	0.0496725	0.022332	0.0344012	0.0436219	0.0368128	0.0395425	0.0668559	0.0189057	0.039332	0.0374371	0.0179439	0.05114316	416.2974	0.4136359	416.2974	208.5142	189.2875	176.1671	166.7049	164.8527	84.27567	154.7143	150.7478	3.642444	3.584944	2.562974	415.2811
70	-110451.8	-110380.7	-71.04219	1.72432	37.73683	0.0437749	0.0586786	0.0646906	0.0536435	0.0633997	0.0136666	0.086703	0.146527	0.0368346	0.0323621	0.104861	0.154412	0.0112212	0.0277866	0.0404398	0.0282808	0.0194036	0.0258483	0.0235257	0.0285545	0.0247938	0.0206924	0.0203491	0.013132	0.0120104	0.0786636	0.0359182	0.0368453	0.0415658	0.0385485	0.0458772	0.00831621	0.0247559	0.0397721	0.0201208	0.0304021	0.043307	0.0337203	0.0346065	0.0785044	0.0211599	0.0369961	0.029498	0.016562	0.04569329	416.2974	0.5799387	416.2974	208.5142	188.9258	176.1671	166.7049	164.8527	84.27567	154.7143	150.7478	3.642444	3.584944	2.562974	413.4648
80	-107399.8	-107331.6	-68.27638	2.025687	46.12943	0.0429325	0.061575	0.0726326	0.0551252	0.0558539	0.0110198	0.0814648	0.136019	0.0359218	0.0316519	0.0932289	0.139492	0.0112209	0.0287804	0.045978	0.0255318	0.0172311	0.026278	0.0219298	0.0255914	0.0217966	0.0173376	0.0175023	0.0129274	0.0106915	0.0756385	0.0285608	0.0352938	0.0395305	0.0363367	0.0447633	0.0078178	0.0222825	0.0354682	0.0187064	0.0283665	0.0466057	0.0306018	0.0321341	0.0812187	0.0195632	0.031786	0.0240709	0.0129125	0.04391312	416.2974	0.4936596	416.2974	208.5142	189.0003	176.1671	166.7049	164.8527	84.27567	154.7143	150.7478	4.592234	3.584944	2.562974	413.4648
90	-104541.1	-104472.4	-68.66287	1.785928	41.25338	0.0408677	0.0593375	0.0851538	0.0551215	0.0448949	0.0103849	0.0803151	0.143589	0.0377286	0.0326469	0.0867737	0.145749	0.0116766	0.0280535	0.0453594	0.0265094	0.0155239	0.0244131	0.0191764	0.0237788	0.0186246	0.0156423	0.0149515	0.0109263	0.00930036	0.0719609	0.0259252	0.0333491	0.0371804	0.0376774	0.0440658	0.00759008	0.0197547	0.0319768	0.0168805	0.024467	0.0382732	0.0305584	0.0286338	0.0834598	0.0210992	0.027899	0.0220504	0.0113264	0.04329168	416.2974	0.5599329	416.2974	208.5142	193.3154	176.1671	166.7049	164.8527	84.27567	154.7143	150.7478	4.592234	3.734159	2.44287	413.4648
